OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,SHAPE_Length,SHAPE_Area
429,Vivian Park Homeowners,C,1379,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1375,Utah,Utah,Utah Lake,4/1/2009,Vivian Park,112,112,112,0,0,0,0,30.6,30.6,30.6,0,0,0,0,34.6,0,34.6,0,1787.937874,110157.7001
430,Maple Lake Academy,C,2527,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11348,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,2,2,2,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0.8,0.8,0,0,170.8336254,1819.51345
431,Eagle`s Landing,C,2526,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11339,Utah,Utah,Utah Lake,4/1/2003,Soldier Summit,184,184,184,0,0,0,0,11.6,11.6,11.6,0,0,0,0,14,14,0,0,5543.163959,1250310.814
432,Rockland Ranch,C,2513,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11286,Utah,San Juan,Southeast Colorado River,9/1/2005,Cane Spring,108,108,108,0,0,0,0,14.5,14.5,14.5,0,0,0,0,25.9,25.9,0,0,2390.252459,163440.3359
433,VA Medical Center SLC,C,2515,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11351,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,790,790,0,11,779,0,0,309.6,309.6,0,4.3,305.3,0,0,0,0,0,0,2650.23869,418626.2087
434,Mountain Valley Water Co.,C,2516,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10017,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,198,198,97,0,101,0,0,15.5,15.5,7.6,0,7.9,0,0,14,14,0,0,1399.880086,108849.9576
435,"Cottonwood Coves, Inc.",C,2514,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11336,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,129,129,121,0,8,0,0,45,45,42.3,0,2.7,0,0,0,0,0,0,1426.542476,107161.2998
436,Bumblebee Water System,C,2508,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11383,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,116,116,116,0,0,0,0,12.4,12.4,12.4,0,0,0,0,73,73,0,0,7194.541385,2298129.607
437,BRWCD - Collinston Water System,C,2518,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11308,Utah,Box Elder,Bear River,1/1/2006,Tremonton,321,155,86,2,0,67,166,32.3,15.6,8.6,0.2,0,6.8,16.7,0,0,0,0,10391.32182,4092458.666
438,Vineyard City,C,2528,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11295,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,101,85,77,3,4,0,16,1585.4,1327.1,1215.1,41.6,66.5,3.9,258.3,0,0,0,0,23706.73486,16539407.96
439,South Willard Water Co.,C,54,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1238,Utah,Box Elder,Weber River,2/1/2009,East Shore,94,94,87,0,6,0,0,140,140,130,0.4,9.7,0,0,638.5,490.7,147.8,0,17648.75688,6910777.027
440,Granger-Hunter Improvement District,C,789,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1114,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,159,157,114,35,8,0,2,23051.3,22785.7,16598.5,5015.6,1171.6,0,265.6,9393,9393,0,0,40385.82732,64073801.81
441,Summit Water Distribution Co.,C,1117,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1288,Utah,Summit,Weber River,2/1/2006,East Canyon,354,354,157,91,18,87,0,2647.9,2647.9,1176.8,683.9,135.2,652,0,4015,1696.5,807.1,1511.4,71299.93081,44984434.71
442,Gorgoza Mutual Water Co.,C,1098,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1368,Utah,Summit,Weber River,2/1/2006,East Canyon,125,125,107,7,10,0,0,589.9,589.9,507.7,33.9,48.4,0,0,2405,2243.6,161.4,0,13060.69178,6751714.83
443,Community Water Co.,C,1081,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1392,Utah,Summit,Weber River,2/1/2006,East Canyon,154,154,134,19,2,0,0,91.6,91.6,79.4,11.3,0.9,0,0,556,265.5,0,290.5,4864.767905,559839.974
