OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotaGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotalSup,WellsSup,SpringsSup,SurfaceSup,SHAPE_Length,SHAPE_Area
63,Escalante Valley Housing,C,512,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1134,Utah,Iron,Cedar/Beaver,06-03-01,Escalante Desert,32,32,32,0,0,0,0,0,0,0,0,2.94,2.94,2.94,0,0,0,0,0,0,0,0,32.16,32.16,0,0,1445.23849122578,101871.615275314
64,Flying L Subdivision,C,553,https://waterlink.utah.gov/deqWater/reports.html?systemId=662,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,298,298,298,0,0,0,0,0,0,0,0,50,50,50,0,0,0,0,0,0,0,0,60,60,0,0,4972.45762030793,792298.63391486
65,Cedar City Waterworks,C,505,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1231,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,210,191,126,40,22,4,19,9,0,10,0,7111.53,6470,4259,1360,728,123,641.53,314.87,0,326.66,0,11387.57,9725.03,1662.54,0,74990.7874094361,71003659.7888835
66,Escalante Town Water System,C,391,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1134,Utah,Garfield,West Colorado River,08-04-02,Escalante River,921,271,211,32,28,0,650,650,0,0,0,825.34,242.88,188.91,28.84,25.13,0,582.46,582.46,0,0,0,577.85,201.76,376.09,0,26236.0356420396,12906860.3725554
67,Old Meadows Water Co.,C,538,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10921,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,242,242,242,0,0,0,0,0,0,0,0,16.27,16.27,16.27,0,0,0,0,0,0,0,0,66.34,66.34,0,0,3080.12478257928,560216.855521193
68,Enoch City Water System,C,506,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1007,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,206,173,160,3,10,0,33,15,0,18,0,1543.7,1297.38,1199.24,23.75,74.39,0,246.32,111.19,0,135.13,0,2413.1,2413.1,0,0,26127.1755996683,13776434.4188627
69,Mid-Valley Estates,C,515,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1242,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,169,169,169,0,0,0,0,0,0,0,0,138.3,138.3,138.3,0,0,0,0,0,0,0,0,121.06,121.06,0,0,5454.47029454445,1621414.56905795
70,Summit Culinary Water,C,511,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1250,Utah,Iron,Cedar/Beaver,06-02-01,Parowan,242,242,234,0,8,0,0,0,0,0,0,59.59,59.59,57.67,0,1.92,0,0,0,0,0,0,169.48,0,169.48,0,4808.05993808965,722079.689336025
71,Eastland SSD,C,923,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1198,Utah,San Juan,Southeast Colorado River,09-03-04,Monticello,148,148,146,2,0,0,0,0,0,0,0,9.96,9.96,9.8,0.17,0,0,0,0,0,0,0,32.28,32.28,0,0,4666.23939884948,931169.765459556
72,Panguitch City Water System,C,394,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1052,Utah,Garfield,Sevier River,05-06-02,Panguitch,303,303,182,55,62,3,0,0,0,0,0,567.92,567.92,341.95,103.33,117.11,5.53,0,0,0,0,0,1654.46,201.76,1452.7,0,20721.839962416,11985881.5524432
