OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
99,Aurora City,C,1025,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1353,Utah,Sevier,Sevier River,5/3/2000,Sevier Bridge,477,80,69,1,1,9,397,560.8,93.6,81.4,1.3,0.7,10.1,467.2,489.1,343.8,145.3,0,2019,Sevier River,13578.58431,4560337.87
100,Salina City Water System,C,1037,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1226,Utah,Sevier,Sevier River,5/3/2000,Sevier Bridge,543,254,77,55,60,62,289,1560.5,730.5,220.7,158.6,173.6,177.6,830,1311,181.1,1129.9,0,2019,Sevier River,31770.42658,16197517.87
101,Thompson SSD,C,474,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1314,Utah,Grand,West Colorado River,8/5/2002,Lower Green River,843,843,244,232,239,128,0,37.8,37.8,10.9,10.4,10.7,5.7,0,161.4,0,161.4,0,2019,Upper Colorado River,7945.081686,1481299.407
102,Teasdale SSD,C,1609,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1236,Utah,Wayne,West Colorado River,8/3/2007,Torrey,628,175,160,8,7,0,453,130.2,36.3,33.1,1.7,1.4,0,93.9,209.8,80.7,129.1,0,2019,Sevier River,7671.950861,3450954.2
103,Beaver City Water System,C,1,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1221,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,873,177,99,40,12,25,695,3450.2,700.6,393.3,158.9,48.9,99.5,2749.6,1692.5,1046.5,646,0,2019,Lower Colorado River North,39392.18574,19353655.98
104,Torrey Town Water System,C,1610,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1185,Utah,Wayne,West Colorado River,8/3/2007,Torrey,1243,330,197,125,9,0,913,584.8,155.3,92.5,58.6,4.2,0,429.4,452,0,452,0,2019,Sevier River,20048.45327,19012100.53
105,Bicknell Town Water System,C,1604,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1091,Utah,Wayne,West Colorado River,8/3/2006,Rabbit Valley,163,163,90,35,16,22,0,59.6,59.6,32.9,12.8,5.7,8.2,0,161.4,0,161.4,0,2019,Sevier River,41255.14612,8892402.2
106,Manderfield Culinary Water System,C,5,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1020,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,944,944,944,0,0,0,0,37,37,37,0,0,0,0,242.1,242.1,0,0,2019,Lower Colorado River North,3167.514147,354482.165
107,Hanksville Town Water System,C,1606,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1278,Utah,Wayne,West Colorado River,8/3/2007,Torrey,274,111,54,47,11,0,163,69,28,13.5,11.8,2.7,0,41,201.8,201.8,0,0,2019,Sevier River,8483.294453,2504178.822
108,Loa Town Water System,C,1607,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1068,Utah,Wayne,West Colorado River,8/3/2006,Rabbit Valley,1651,206,109,31,4,62,1445,1081.9,134.9,71.5,20.5,2.5,40.4,947,537.5,408.4,129.1,0,2019,Sevier River,10887.76161,3326748.187
